#,Agencia,Grupo,Marca(s),Ciudad/Dirección,Teléfono,Confiab. teléfono,Correo,Confiab. correo,Web,Redes,Contacto de marketing,Canal recomendado,Prioridad,Estado de contacto,Notas
1,Nissan Jidosha,Grupo Jidosha,Nissan,"Blvd. Ortiz Mena 431, Col. Unidad Presidentes, Chihuahua",614 428 8888,verificado,nuevos@jidosha.com.mx,probable,nissanjidoshachihuahua.com.mx,Facebook /NissanJidoshaChih,Sin nombre; área de mercadotecnia no identificada,DM Facebook o correo de ventas para referencia a mercadotecnia,Media,,-
2,Chevrolet Toro,Chevrolet Toro,Chevrolet,"Periférico de la Juventud 6101, Col. Residencial San Francisco, Chihuahua",614 180 1515,verificado,mercadotecnia@chevrolettoro.com.mx,probable,chevrolettoro.com.mx,IG @chevrolettoro; FB /torochevrolet,Correo directo de mercadotecnia (sin nombre de persona),Correo de mercadotecnia (confirmar buzón),Alta,,Multisucursal en el estado
3,Toyota HG,Grupo HG,Toyota,"Periférico de la Juventud 6711, Residencial Cumbres, Chihuahua",614 439 6900,probable,no encontrado,no encontrado,toyotahg.mx,IG @toyotachihuahua; @grupohg.mx,Sin nombre confirmado,LinkedIn Grupo HG o DM Instagram,Media,,"Grupo HG concentra Toyota, KIA, Subaru y GWM"
4,Volkswagen Volker,Grupo Volker,Volkswagen,"Periférico de la Juventud 6910, Col. Cumbres 4a Etapa, Chihuahua",614 432 1300,verificado,publicidad@vw-volker.com.mx; digitales@vw-volker.com.mx,probable,vw-volker.com.mx,X @volkerchihuahua; FB /SeminuevosVolker,Correos de publicidad y marketing digital (sin nombre),Correos de publicidad/digitales (confirmar),Alta,,-
5,Ford PASA,Grupo PASA / Cambher,"Ford, Lincoln","Av. de las Américas 907, Col. Las Granjas, Chihuahua",614 442 3030,verificado,no encontrado,no encontrado,pasaford.com.mx / fordprodauto.mx,IG @fordpasa; FB /fordchihuahua,Sin nombre confirmado,LinkedIn Grupo PASA o DM redes,Media,,"Grupo concentra Ford, Lincoln, RAM, Peugeot, Fiat, Dodge, Suzuki"
6,Mazda Chihuahua,Grupo Contró,Mazda,"Periférico de la Juventud 6709, Col. Cumbres 4a Etapa, Chihuahua",614 243 6128,probable,no encontrado,no encontrado,mazda.mx/distribuidores/mazda-chihuahua,IG @mazdachihuahua; FB /MazdaChihuahua,Sin nombre,DM Instagram/Facebook o WhatsApp,Estándar,,-
7,Honda Plaza Juventud,Plaza Automotores,Honda,"Periférico de la Juventud 7307, Cumbres III Etapa, Chihuahua",no encontrado,no encontrado,no encontrado,no encontrado,hondaplaza.mx,FB /HondaPlazaJuventud,"Sin correo de marketing (el hallado es de protección de datos, no usar)",DM Facebook,Estándar,,-
8,KIA Juventud,Grupo HG,KIA,"Periférico de la Juventud 6705, Residencial Cumbres, Chihuahua",614 439 6000,probable,ventas@kiajuventud.com,probable,kiahg.mx,IG @kiajuventud,Sin nombre; mismo grupo que Toyota HG,LinkedIn Grupo HG o DM Instagram,Media,,Abordar junto con Toyota HG
9,Hyundai Penta,Penta Motriz,Hyundai,"Periférico de la Juventud 3905, Col. Valle del Ángel, Chihuahua",614 307 2000,probable,no encontrado,no encontrado,hyundaipenta.com,FB /Hyundaipentachihuahua,Correo nominal en agregador sin puesto confirmado (no usar sin verificar),DM Facebook o formulario,Estándar,,-
10,Mercedes-Benz Touché,Grupo Toxa,Mercedes-Benz,"Periférico de la Juventud 6910, Col. Cumbres, Chihuahua",614 259 1831,verificado,mkt_mercedesbenz@toxa.com.mx,verificado,mercedes-benz-touche.com.mx,FB /MercedesBenzTouche,Buzón directo de mercadotecnia (sin nombre de persona),Correo de mercadotecnia (mejor lead),Alta,,Mejor punto de entrada de la lista
11,Audi Center Chihuahua,Red VW/Audi,Audi,"Periférico Luis Donaldo Colosio 5901, Chihuahua",614 442 7800,verificado,no encontrado,no encontrado,audicenterchihuahua.com.mx,IG @audicenterchihuahua; FB /AudiCenterChihuahua,Sin nombre,DM Instagram o LinkedIn de la empresa,Estándar,,WhatsApp 614 488 8486
12,BMW / MINI Surman,Grupo Surman,"BMW, MINI, BMW Motorrad","Av. Periférico de la Juventud 7507, Col. Cumbres V, Chihuahua",no encontrado,no encontrado,no encontrado,no encontrado,bmw.com.mx (ficha Surman); surman.com,FB BMW Motorrad Surman Autos Chihuahua,Marketing corporativo Grupo Surman,LinkedIn Grupo Surman,Media,,Grupo Surman también opera SEAT/CUPRA en Chihuahua
13,CHS Automotores,CHS Automotores,"GMC, Buick, Cadillac","Periférico de la Juventud 6101, Col. Saucito, Chihuahua",614 180 1500,verificado,no encontrado,no encontrado,buickgmcchihuahua.com.mx,IG @chsautomotores; FB /ChsChihuahua,Sin nombre,DM Instagram o teléfono pidiendo mercadotecnia,Media,,Una gestión abre 3 marcas
14,Grupo Cleber,Grupo Cleber,"Chirey, OMODA, BYD, Jeep/RAM/Dodge/Fiat","Chirey Cleber: Periférico de la Juventud 7301, Cumbres III, Chihuahua",614 478 9600,verificado,no encontrado,no encontrado,cleber.com; chireycleber.com; bydcleber.com,IG @byd_cleber; FB BYD Cleber Chihuahua,Montserrat Gutiérrez - Marketing Coordinator (LinkedIn /in/montsegut/),LinkedIn a Montserrat Gutiérrez,Alta,,Fuerte en marcas chinas en expansión
15,Suzuki PASA,Grupo Cambher,Suzuki,"Periférico de la Juventud 6701, Col. Haciendas del Valle, Chihuahua",614 439 7000,verificado,no encontrado,no encontrado,suzukichihuahua.com; grupocambher.mx,FB /SuzukiAutosChihuahua,Sin nombre,Formulario del sitio o corporativo Grupo Cambher,Media,,-
